Customer,"UCSB"
Date Range,09/19/2021 - 09/30/2021
Hour Range,0 - 24
Days of the Week,"Mon - Sun"
Time Interval, 1h

Location,Timestamp,Average Occupancy,Peak Occupancy,Time Interval,Location Path
UCSB Library,09/22/2021 16:00,12,2,1hour,UCSB > UCSB Library
UCSB Library,09/25/2021 12:00,30,39,1hour,UCSB > UCSB Library
UCSB Library,09/25/2021 13:00,21,27,1hour,UCSB > UCSB Library
UCSB Library,09/25/2021 14:00,91,199,1hour,UCSB > UCSB Library
UCSB Library,09/25/2021 15:00,73,84,1hour,UCSB > UCSB Library
UCSB Library,09/25/2021 16:00,56,64,1hour,UCSB > UCSB Library
UCSB Library,09/25/2021 17:00,44,60,1hour,UCSB > UCSB Library
UCSB Library,09/25/2021 18:00,13,34,1hour,UCSB > UCSB Library
UCSB Library,09/25/2021 19:00,3,5,1hour,UCSB > UCSB Library
UCSB Library,09/25/2021 20:00,1,3,1hour,UCSB > UCSB Library
UCSB Library,09/25/2021 21:00,1,1,1hour,UCSB > UCSB Library
UCSB Library,09/25/2021 22:00,0,0,1hour,UCSB > UCSB Library
UCSB Library,09/25/2021 23:00,0,0,1hour,UCSB > UCSB Library
UCSB Library,09/26/2021 00:00,0,0,1hour,UCSB > UCSB Library
UCSB Library,09/26/2021 01:00,17,22,1hour,UCSB > UCSB Library
UCSB Library,09/26/2021 02:00,19,23,1hour,UCSB > UCSB Library
UCSB Library,09/26/2021 03:00,19,23,1hour,UCSB > UCSB Library
UCSB Library,09/26/2021 04:00,17,19,1hour,UCSB > UCSB Library
UCSB Library,09/26/2021 05:00,17,19,1hour,UCSB > UCSB Library
UCSB Library,09/26/2021 06:00,17,20,1hour,UCSB > UCSB Library
UCSB Library,09/26/2021 07:00,17,20,1hour,UCSB > UCSB Library
UCSB Library,09/26/2021 08:00,18,21,1hour,UCSB > UCSB Library
UCSB Library,09/26/2021 09:00,19,23,1hour,UCSB > UCSB Library
UCSB Library,09/26/2021 10:00,85,114,1hour,UCSB > UCSB Library
UCSB Library,09/26/2021 11:00,169,214,1hour,UCSB > UCSB Library
UCSB Library,09/26/2021 12:00,336,410,1hour,UCSB > UCSB Library
UCSB Library,09/26/2021 13:00,559,629,1hour,UCSB > UCSB Library
UCSB Library,09/26/2021 14:00,784,865,1hour,UCSB > UCSB Library
UCSB Library,09/26/2021 15:00,876,922,1hour,UCSB > UCSB Library
UCSB Library,09/26/2021 16:00,801,886,1hour,UCSB > UCSB Library
UCSB Library,09/26/2021 17:00,617,723,1hour,UCSB > UCSB Library
UCSB Library,09/26/2021 18:00,427,518,1hour,UCSB > UCSB Library
UCSB Library,09/26/2021 19:00,269,362,1hour,UCSB > UCSB Library
UCSB Library,09/26/2021 20:00,246,305,1hour,UCSB > UCSB Library
UCSB Library,09/27/2021 00:00,24,42,1hour,UCSB > UCSB Library
UCSB Library,09/27/2021 01:00,19,24,1hour,UCSB > UCSB Library
UCSB Library,09/27/2021 02:00,20,23,1hour,UCSB > UCSB Library
UCSB Library,09/27/2021 03:00,19,21,1hour,UCSB > UCSB Library
UCSB Library,09/27/2021 04:00,18,22,1hour,UCSB > UCSB Library
UCSB Library,09/27/2021 05:00,19,21,1hour,UCSB > UCSB Library
UCSB Library,09/27/2021 06:00,20,24,1hour,UCSB > UCSB Library
UCSB Library,09/27/2021 07:00,29,71,1hour,UCSB > UCSB Library
UCSB Library,09/27/2021 08:00,132,502,1hour,UCSB > UCSB Library
UCSB Library,09/27/2021 09:00,759,1057,1hour,UCSB > UCSB Library
UCSB Library,09/27/2021 10:00,1247,1446,1hour,UCSB > UCSB Library
UCSB Library,09/27/2021 11:00,1543,1710,1hour,UCSB > UCSB Library
UCSB Library,09/27/2021 12:00,1351,1428,1hour,UCSB > UCSB Library
UCSB Library,09/27/2021 13:00,1457,1575,1hour,UCSB > UCSB Library
UCSB Library,09/27/2021 14:00,1458,1651,1hour,UCSB > UCSB Library
UCSB Library,09/27/2021 15:00,1283,1388,1hour,UCSB > UCSB Library
UCSB Library,09/27/2021 16:00,1240,1345,1hour,UCSB > UCSB Library
UCSB Library,09/27/2021 17:00,875,1005,1hour,UCSB > UCSB Library
UCSB Library,09/27/2021 18:00,642,769,1hour,UCSB > UCSB Library
UCSB Library,09/27/2021 19:00,388,491,1hour,UCSB > UCSB Library
UCSB Library,09/27/2021 20:00,401,453,1hour,UCSB > UCSB Library
UCSB Library,09/27/2021 21:00,360,437,1hour,UCSB > UCSB Library
UCSB Library,09/27/2021 22:00,318,424,1hour,UCSB > UCSB Library
UCSB Library,09/27/2021 23:00,123,216,1hour,UCSB > UCSB Library
UCSB Library,09/28/2021 00:00,23,36,1hour,UCSB > UCSB Library
UCSB Library,09/28/2021 01:00,22,25,1hour,UCSB > UCSB Library
UCSB Library,09/28/2021 02:00,20,23,1hour,UCSB > UCSB Library
UCSB Library,09/28/2021 03:00,18,22,1hour,UCSB > UCSB Library
UCSB Library,09/28/2021 04:00,17,22,1hour,UCSB > UCSB Library
UCSB Library,09/28/2021 05:00,15,20,1hour,UCSB > UCSB Library
UCSB Library,09/28/2021 06:00,15,19,1hour,UCSB > UCSB Library
UCSB Library,09/28/2021 07:00,33,91,1hour,UCSB > UCSB Library
UCSB Library,09/28/2021 08:00,108,330,1hour,UCSB > UCSB Library
UCSB Library,09/28/2021 09:00,665,876,1hour,UCSB > UCSB Library
UCSB Library,09/28/2021 10:00,1012,1137,1hour,UCSB > UCSB Library
UCSB Library,09/28/2021 11:00,1212,1310,1hour,UCSB > UCSB Library
UCSB Library,09/28/2021 12:00,1267,1359,1hour,UCSB > UCSB Library
UCSB Library,09/28/2021 13:00,1462,1557,1hour,UCSB > UCSB Library
UCSB Library,09/28/2021 14:00,1584,1655,1hour,UCSB > UCSB Library
UCSB Library,09/28/2021 15:00,1644,1741,1hour,UCSB > UCSB Library
UCSB Library,09/28/2021 16:00,1584,1766,1hour,UCSB > UCSB Library
UCSB Library,09/28/2021 17:00,1041,1263,1hour,UCSB > UCSB Library
UCSB Library,09/28/2021 18:00,775,843,1hour,UCSB > UCSB Library
UCSB Library,09/29/2021 09:00,699,853,1hour,UCSB > UCSB Library
UCSB Library,09/29/2021 10:00,978,1160,1hour,UCSB > UCSB Library
UCSB Library,09/29/2021 11:00,1075,1159,1hour,UCSB > UCSB Library
UCSB Library,09/29/2021 12:00,1058,1214,1hour,UCSB > UCSB Library
UCSB Library,09/29/2021 13:00,1221,1343,1hour,UCSB > UCSB Library
UCSB Library,09/29/2021 14:00,1450,1632,1hour,UCSB > UCSB Library
UCSB Library,09/29/2021 15:00,1360,1502,1hour,UCSB > UCSB Library
UCSB Library,09/29/2021 16:00,1189,1344,1hour,UCSB > UCSB Library
UCSB Library,09/29/2021 17:00,816,996,1hour,UCSB > UCSB Library
UCSB Library,09/29/2021 18:00,549,647,1hour,UCSB > UCSB Library
UCSB Library,09/29/2021 19:00,362,448,1hour,UCSB > UCSB Library
UCSB Library,09/29/2021 20:00,354,407,1hour,UCSB > UCSB Library
UCSB Library,09/29/2021 21:00,380,406,1hour,UCSB > UCSB Library
UCSB Library,09/29/2021 22:00,323,364,1hour,UCSB > UCSB Library
UCSB Library,09/29/2021 23:00,165,279,1hour,UCSB > UCSB Library
UCSB Library,09/30/2021 00:00,45,72,1hour,UCSB > UCSB Library
UCSB Library,09/30/2021 01:00,57,82,1hour,UCSB > UCSB Library
UCSB Library,09/30/2021 02:00,22,29,1hour,UCSB > UCSB Library
UCSB Library,09/30/2021 03:00,15,20,1hour,UCSB > UCSB Library
UCSB Library,09/30/2021 04:00,14,16,1hour,UCSB > UCSB Library
UCSB Library,09/30/2021 05:00,15,17,1hour,UCSB > UCSB Library
UCSB Library,09/30/2021 06:00,15,18,1hour,UCSB > UCSB Library
UCSB Library,09/30/2021 07:00,23,63,1hour,UCSB > UCSB Library
UCSB Library,09/30/2021 08:00,104,243,1hour,UCSB > UCSB Library
UCSB Library,09/30/2021 09:00,564,742,1hour,UCSB > UCSB Library
UCSB Library,09/30/2021 10:00,899,1150,1hour,UCSB > UCSB Library
UCSB Library,09/30/2021 11:00,1227,1317,1hour,UCSB > UCSB Library
UCSB Library,09/30/2021 12:00,1275,1387,1hour,UCSB > UCSB Library
UCSB Library,09/30/2021 13:00,1489,1786,1hour,UCSB > UCSB Library
UCSB Library,09/30/2021 14:00,1554,1932,1hour,UCSB > UCSB Library
UCSB Library,09/30/2021 15:00,1472,1878,1hour,UCSB > UCSB Library
UCSB Library,09/30/2021 16:00,1478,1794,1hour,UCSB > UCSB Library
UCSB Library,09/30/2021 17:00,967,1313,1hour,UCSB > UCSB Library
UCSB Library,09/30/2021 18:00,771,980,1hour,UCSB > UCSB Library
UCSB Library,09/30/2021 19:00,534,617,1hour,UCSB > UCSB Library
UCSB Library,09/30/2021 20:00,476,521,1hour,UCSB > UCSB Library
UCSB Library,09/30/2021 21:00,482,528,1hour,UCSB > UCSB Library
UCSB Library,09/30/2021 22:00,399,451,1hour,UCSB > UCSB Library
UCSB Library,09/30/2021 23:00,244,371,1hour,UCSB > UCSB Library
