Customer,"UCSB"
Date Range,08/01/2022 - 08/31/2022
Hour Range,0 - 24
Days of the Week,"Mon - Sun"
Time Interval, 1h

Location,Timestamp,Average Occupancy,Peak Occupancy,Time Interval,Location Path
UCSB Library,08/01/2022 00:00,52,89,1hour,UCSB > UCSB Library
UCSB Library,08/01/2022 01:00,60,83,1hour,UCSB > UCSB Library
UCSB Library,08/01/2022 02:00,76,85,1hour,UCSB > UCSB Library
UCSB Library,08/01/2022 03:00,77,87,1hour,UCSB > UCSB Library
UCSB Library,08/01/2022 04:00,73,84,1hour,UCSB > UCSB Library
UCSB Library,08/01/2022 05:00,35,79,1hour,UCSB > UCSB Library
UCSB Library,08/01/2022 06:00,41,84,1hour,UCSB > UCSB Library
UCSB Library,08/01/2022 07:00,53,82,1hour,UCSB > UCSB Library
UCSB Library,08/01/2022 08:00,95,145,1hour,UCSB > UCSB Library
UCSB Library,08/01/2022 09:00,236,273,1hour,UCSB > UCSB Library
UCSB Library,08/01/2022 10:00,395,557,1hour,UCSB > UCSB Library
UCSB Library,08/01/2022 11:00,492,521,1hour,UCSB > UCSB Library
UCSB Library,08/01/2022 12:00,642,961,1hour,UCSB > UCSB Library
UCSB Library,08/01/2022 13:00,878,1090,1hour,UCSB > UCSB Library
UCSB Library,08/01/2022 14:00,689,878,1hour,UCSB > UCSB Library
UCSB Library,08/01/2022 15:00,644,821,1hour,UCSB > UCSB Library
UCSB Library,08/01/2022 16:00,557,617,1hour,UCSB > UCSB Library
UCSB Library,08/01/2022 17:00,461,607,1hour,UCSB > UCSB Library
UCSB Library,08/01/2022 18:00,382,686,1hour,UCSB > UCSB Library
UCSB Library,08/01/2022 19:00,287,597,1hour,UCSB > UCSB Library
UCSB Library,08/01/2022 20:00,281,680,1hour,UCSB > UCSB Library
UCSB Library,08/01/2022 21:00,225,606,1hour,UCSB > UCSB Library
UCSB Library,08/01/2022 22:00,171,512,1hour,UCSB > UCSB Library
UCSB Library,08/01/2022 23:00,66,131,1hour,UCSB > UCSB Library
UCSB Library,08/02/2022 00:00,140,491,1hour,UCSB > UCSB Library
UCSB Library,08/02/2022 01:00,469,487,1hour,UCSB > UCSB Library
UCSB Library,08/02/2022 02:00,469,497,1hour,UCSB > UCSB Library
UCSB Library,08/02/2022 03:00,467,483,1hour,UCSB > UCSB Library
UCSB Library,08/02/2022 04:00,468,491,1hour,UCSB > UCSB Library
UCSB Library,08/02/2022 05:00,459,473,1hour,UCSB > UCSB Library
UCSB Library,08/02/2022 06:00,455,473,1hour,UCSB > UCSB Library
UCSB Library,08/02/2022 07:00,467,487,1hour,UCSB > UCSB Library
UCSB Library,08/02/2022 08:00,518,594,1hour,UCSB > UCSB Library
UCSB Library,08/02/2022 09:00,670,710,1hour,UCSB > UCSB Library
UCSB Library,08/02/2022 10:00,765,955,1hour,UCSB > UCSB Library
UCSB Library,08/02/2022 11:00,975,1199,1hour,UCSB > UCSB Library
UCSB Library,08/02/2022 12:00,882,1171,1hour,UCSB > UCSB Library
UCSB Library,08/02/2022 13:00,779,855,1hour,UCSB > UCSB Library
UCSB Library,08/02/2022 14:00,826,995,1hour,UCSB > UCSB Library
UCSB Library,08/02/2022 15:00,838,1003,1hour,UCSB > UCSB Library
UCSB Library,08/02/2022 16:00,748,1047,1hour,UCSB > UCSB Library
UCSB Library,08/02/2022 17:00,642,800,1hour,UCSB > UCSB Library
UCSB Library,08/02/2022 18:00,476,633,1hour,UCSB > UCSB Library
UCSB Library,08/02/2022 19:00,693,762,1hour,UCSB > UCSB Library
UCSB Library,08/02/2022 20:00,745,789,1hour,UCSB > UCSB Library
UCSB Library,08/02/2022 21:00,689,740,1hour,UCSB > UCSB Library
UCSB Library,08/02/2022 22:00,565,625,1hour,UCSB > UCSB Library
UCSB Library,08/02/2022 23:00,484,510,1hour,UCSB > UCSB Library
UCSB Library,08/03/2022 00:00,464,481,1hour,UCSB > UCSB Library
UCSB Library,08/03/2022 01:00,25,370,1hour,UCSB > UCSB Library
UCSB Library,08/03/2022 02:00,24,51,1hour,UCSB > UCSB Library
UCSB Library,08/03/2022 03:00,30,55,1hour,UCSB > UCSB Library
UCSB Library,08/03/2022 04:00,30,54,1hour,UCSB > UCSB Library
UCSB Library,08/03/2022 05:00,30,55,1hour,UCSB > UCSB Library
UCSB Library,08/03/2022 06:00,11,20,1hour,UCSB > UCSB Library
UCSB Library,08/03/2022 07:00,24,55,1hour,UCSB > UCSB Library
UCSB Library,08/03/2022 08:00,81,137,1hour,UCSB > UCSB Library
UCSB Library,08/03/2022 09:00,221,274,1hour,UCSB > UCSB Library
UCSB Library,08/03/2022 10:00,412,556,1hour,UCSB > UCSB Library
UCSB Library,08/03/2022 11:00,631,697,1hour,UCSB > UCSB Library
UCSB Library,08/03/2022 12:00,671,728,1hour,UCSB > UCSB Library
UCSB Library,08/03/2022 13:00,685,756,1hour,UCSB > UCSB Library
UCSB Library,08/03/2022 14:00,812,875,1hour,UCSB > UCSB Library
