Customer,"UCSB"
Date Range,12/01/2022 - 12/09/2022
Hour Range,0 - 24
Days of the Week,"Mon - Sun"
Time Interval, 1h

Location,Timestamp,Average Occupancy,Peak Occupancy,Time Interval,Location Path
UCSB Library,12/01/2022 00:00,688,847,1hour,UCSB > UCSB Library
UCSB Library,12/01/2022 01:00,452,584,1hour,UCSB > UCSB Library
UCSB Library,12/01/2022 02:00,247,344,1hour,UCSB > UCSB Library
UCSB Library,12/01/2022 03:00,106,152,1hour,UCSB > UCSB Library
UCSB Library,12/01/2022 04:00,61,92,1hour,UCSB > UCSB Library
UCSB Library,12/01/2022 05:00,47,57,1hour,UCSB > UCSB Library
UCSB Library,12/01/2022 06:00,35,45,1hour,UCSB > UCSB Library
UCSB Library,12/01/2022 07:00,68,133,1hour,UCSB > UCSB Library
UCSB Library,12/01/2022 08:00,250,418,1hour,UCSB > UCSB Library
UCSB Library,12/01/2022 09:00,751,939,1hour,UCSB > UCSB Library
UCSB Library,12/01/2022 10:00,1295,1609,1hour,UCSB > UCSB Library
UCSB Library,12/01/2022 11:00,1715,1866,1hour,UCSB > UCSB Library
UCSB Library,12/01/2022 12:00,2000,2116,1hour,UCSB > UCSB Library
UCSB Library,12/01/2022 13:00,2336,2545,1hour,UCSB > UCSB Library
UCSB Library,12/01/2022 14:00,2595,2677,1hour,UCSB > UCSB Library
UCSB Library,12/01/2022 15:00,2717,2824,1hour,UCSB > UCSB Library
UCSB Library,12/01/2022 16:00,2625,2730,1hour,UCSB > UCSB Library
UCSB Library,12/01/2022 17:00,2245,2569,1hour,UCSB > UCSB Library
UCSB Library,12/01/2022 18:00,1934,2096,1hour,UCSB > UCSB Library
UCSB Library,12/01/2022 19:00,1768,1841,1hour,UCSB > UCSB Library
UCSB Library,12/01/2022 20:00,1716,1765,1hour,UCSB > UCSB Library
UCSB Library,12/01/2022 21:00,1626,1729,1hour,UCSB > UCSB Library
UCSB Library,12/01/2022 22:00,1386,1557,1hour,UCSB > UCSB Library
UCSB Library,12/01/2022 23:00,1010,1252,1hour,UCSB > UCSB Library
UCSB Library,12/02/2022 00:00,653,808,1hour,UCSB > UCSB Library
UCSB Library,12/02/2022 01:00,435,592,1hour,UCSB > UCSB Library
UCSB Library,12/02/2022 02:00,227,337,1hour,UCSB > UCSB Library
UCSB Library,12/02/2022 03:00,119,160,1hour,UCSB > UCSB Library
UCSB Library,12/02/2022 04:00,73,93,1hour,UCSB > UCSB Library
UCSB Library,12/02/2022 05:00,63,71,1hour,UCSB > UCSB Library
UCSB Library,12/02/2022 06:00,56,62,1hour,UCSB > UCSB Library
UCSB Library,12/02/2022 07:00,57,101,1hour,UCSB > UCSB Library
UCSB Library,12/02/2022 08:00,167,444,1hour,UCSB > UCSB Library
UCSB Library,12/02/2022 09:00,732,1062,1hour,UCSB > UCSB Library
UCSB Library,12/02/2022 10:00,1252,1453,1hour,UCSB > UCSB Library
UCSB Library,12/02/2022 11:00,1634,1880,1hour,UCSB > UCSB Library
UCSB Library,12/02/2022 12:00,2023,2173,1hour,UCSB > UCSB Library
