Customer,"UCSB"
Date Range,02/01/2022 - 02/28/2022
Hour Range,0 - 24
Days of the Week,"Mon - Sun"
Time Interval, 1h

Location,Timestamp,Average Occupancy,Peak Occupancy,Time Interval,Location Path
UCSB Library,02/01/2022 00:00,139,277,1hour,UCSB > UCSB Library
UCSB Library,02/01/2022 01:00,47,68,1hour,UCSB > UCSB Library
UCSB Library,02/01/2022 02:00,27,38,1hour,UCSB > UCSB Library
UCSB Library,02/01/2022 03:00,14,22,1hour,UCSB > UCSB Library
UCSB Library,02/01/2022 04:00,12,16,1hour,UCSB > UCSB Library
UCSB Library,02/01/2022 05:00,13,15,1hour,UCSB > UCSB Library
UCSB Library,02/01/2022 06:00,12,15,1hour,UCSB > UCSB Library
UCSB Library,02/01/2022 07:00,20,49,1hour,UCSB > UCSB Library
UCSB Library,02/01/2022 08:00,118,202,1hour,UCSB > UCSB Library
UCSB Library,02/01/2022 09:00,442,671,1hour,UCSB > UCSB Library
UCSB Library,02/01/2022 10:00,903,1052,1hour,UCSB > UCSB Library
UCSB Library,02/01/2022 11:00,1237,1309,1hour,UCSB > UCSB Library
UCSB Library,02/01/2022 12:00,1251,1354,1hour,UCSB > UCSB Library
UCSB Library,02/01/2022 13:00,1401,1546,1hour,UCSB > UCSB Library
UCSB Library,02/01/2022 14:00,1536,1833,1hour,UCSB > UCSB Library
UCSB Library,02/01/2022 15:00,1713,1851,1hour,UCSB > UCSB Library
UCSB Library,02/01/2022 16:00,1642,1847,1hour,UCSB > UCSB Library
UCSB Library,02/01/2022 17:00,1321,1516,1hour,UCSB > UCSB Library
UCSB Library,02/01/2022 18:00,988,1081,1hour,UCSB > UCSB Library
UCSB Library,02/01/2022 19:00,938,1108,1hour,UCSB > UCSB Library
UCSB Library,02/01/2022 20:00,912,1079,1hour,UCSB > UCSB Library
UCSB Library,02/01/2022 21:00,814,867,1hour,UCSB > UCSB Library
UCSB Library,02/01/2022 22:00,677,738,1hour,UCSB > UCSB Library
UCSB Library,02/01/2022 23:00,501,606,1hour,UCSB > UCSB Library
UCSB Library,02/02/2022 00:00,275,403,1hour,UCSB > UCSB Library
UCSB Library,02/02/2022 01:00,153,193,1hour,UCSB > UCSB Library
UCSB Library,02/02/2022 02:00,59,110,1hour,UCSB > UCSB Library
UCSB Library,02/02/2022 03:00,19,34,1hour,UCSB > UCSB Library
UCSB Library,02/02/2022 04:00,14,18,1hour,UCSB > UCSB Library
UCSB Library,02/02/2022 05:00,14,15,1hour,UCSB > UCSB Library
UCSB Library,02/02/2022 06:00,12,17,1hour,UCSB > UCSB Library
UCSB Library,02/02/2022 07:00,12,21,1hour,UCSB > UCSB Library
