Customer,"UCSB"
Date Range,01/01/2022 - 01/31/2022
Hour Range,0 - 24
Days of the Week,"Mon - Sun"
Time Interval, 1h

Location,Timestamp,Average Occupancy,Peak Occupancy,Time Interval,Location Path
UCSB Library,01/01/2022 00:00,7,15,1hour,UCSB > UCSB Library
UCSB Library,01/01/2022 01:00,8,9,1hour,UCSB > UCSB Library
UCSB Library,01/01/2022 02:00,9,12,1hour,UCSB > UCSB Library
UCSB Library,01/01/2022 03:00,9,13,1hour,UCSB > UCSB Library
UCSB Library,01/01/2022 04:00,9,13,1hour,UCSB > UCSB Library
UCSB Library,01/01/2022 05:00,8,10,1hour,UCSB > UCSB Library
UCSB Library,01/01/2022 06:00,8,9,1hour,UCSB > UCSB Library
UCSB Library,01/01/2022 07:00,8,10,1hour,UCSB > UCSB Library
UCSB Library,01/01/2022 08:00,8,10,1hour,UCSB > UCSB Library
UCSB Library,01/01/2022 09:00,9,10,1hour,UCSB > UCSB Library
UCSB Library,01/01/2022 10:00,9,13,1hour,UCSB > UCSB Library
UCSB Library,01/01/2022 11:00,9,10,1hour,UCSB > UCSB Library
UCSB Library,01/01/2022 12:00,9,11,1hour,UCSB > UCSB Library
UCSB Library,01/01/2022 13:00,9,10,1hour,UCSB > UCSB Library
UCSB Library,01/01/2022 14:00,8,10,1hour,UCSB > UCSB Library
UCSB Library,01/01/2022 15:00,9,11,1hour,UCSB > UCSB Library
UCSB Library,01/01/2022 16:00,9,11,1hour,UCSB > UCSB Library
UCSB Library,01/01/2022 17:00,9,11,1hour,UCSB > UCSB Library
UCSB Library,01/01/2022 18:00,9,10,1hour,UCSB > UCSB Library
UCSB Library,01/01/2022 19:00,8,9,1hour,UCSB > UCSB Library
UCSB Library,01/01/2022 20:00,8,10,1hour,UCSB > UCSB Library
UCSB Library,01/01/2022 21:00,7,9,1hour,UCSB > UCSB Library
UCSB Library,01/01/2022 22:00,6,7,1hour,UCSB > UCSB Library
UCSB Library,01/01/2022 23:00,6,8,1hour,UCSB > UCSB Library
UCSB Library,01/02/2022 00:00,7,11,1hour,UCSB > UCSB Library
UCSB Library,01/02/2022 01:00,6,7,1hour,UCSB > UCSB Library
UCSB Library,01/02/2022 02:00,7,8,1hour,UCSB > UCSB Library
UCSB Library,01/02/2022 03:00,9,12,1hour,UCSB > UCSB Library
UCSB Library,01/02/2022 04:00,9,11,1hour,UCSB > UCSB Library
UCSB Library,01/02/2022 05:00,9,11,1hour,UCSB > UCSB Library
UCSB Library,01/02/2022 06:00,9,11,1hour,UCSB > UCSB Library
UCSB Library,01/02/2022 07:00,9,10,1hour,UCSB > UCSB Library
UCSB Library,01/02/2022 08:00,9,11,1hour,UCSB > UCSB Library
UCSB Library,01/02/2022 09:00,9,11,1hour,UCSB > UCSB Library
UCSB Library,01/02/2022 10:00,9,10,1hour,UCSB > UCSB Library
UCSB Library,01/02/2022 11:00,9,11,1hour,UCSB > UCSB Library
UCSB Library,01/02/2022 12:00,9,11,1hour,UCSB > UCSB Library
UCSB Library,01/02/2022 13:00,9,10,1hour,UCSB > UCSB Library
UCSB Library,01/02/2022 14:00,9,10,1hour,UCSB > UCSB Library
UCSB Library,01/02/2022 15:00,9,11,1hour,UCSB > UCSB Library
UCSB Library,01/02/2022 16:00,9,10,1hour,UCSB > UCSB Library
UCSB Library,01/02/2022 17:00,9,11,1hour,UCSB > UCSB Library
UCSB Library,01/02/2022 18:00,9,11,1hour,UCSB > UCSB Library
UCSB Library,01/02/2022 19:00,9,11,1hour,UCSB > UCSB Library
UCSB Library,01/02/2022 20:00,9,11,1hour,UCSB > UCSB Library
UCSB Library,01/02/2022 21:00,7,10,1hour,UCSB > UCSB Library
UCSB Library,01/02/2022 22:00,6,7,1hour,UCSB > UCSB Library
UCSB Library,01/02/2022 23:00,7,7,1hour,UCSB > UCSB Library
UCSB Library,01/03/2022 00:00,7,11,1hour,UCSB > UCSB Library
UCSB Library,01/03/2022 01:00,7,8,1hour,UCSB > UCSB Library
UCSB Library,01/03/2022 02:00,7,8,1hour,UCSB > UCSB Library
UCSB Library,01/03/2022 03:00,7,8,1hour,UCSB > UCSB Library
UCSB Library,01/03/2022 04:00,7,11,1hour,UCSB > UCSB Library
UCSB Library,01/03/2022 05:00,7,9,1hour,UCSB > UCSB Library
UCSB Library,01/03/2022 06:00,8,9,1hour,UCSB > UCSB Library
UCSB Library,01/03/2022 07:00,8,11,1hour,UCSB > UCSB Library
UCSB Library,01/03/2022 08:00,20,33,1hour,UCSB > UCSB Library
UCSB Library,01/03/2022 09:00,63,119,1hour,UCSB > UCSB Library
UCSB Library,01/03/2022 10:00,191,258,1hour,UCSB > UCSB Library
UCSB Library,01/03/2022 11:00,224,262,1hour,UCSB > UCSB Library
UCSB Library,01/03/2022 12:00,209,230,1hour,UCSB > UCSB Library
UCSB Library,01/03/2022 13:00,237,255,1hour,UCSB > UCSB Library
UCSB Library,01/03/2022 14:00,262,293,1hour,UCSB > UCSB Library
UCSB Library,01/03/2022 15:00,255,314,1hour,UCSB > UCSB Library
UCSB Library,01/03/2022 16:00,188,229,1hour,UCSB > UCSB Library
UCSB Library,01/03/2022 17:00,100,145,1hour,UCSB > UCSB Library
UCSB Library,01/03/2022 18:00,47,69,1hour,UCSB > UCSB Library
UCSB Library,01/03/2022 19:00,33,40,1hour,UCSB > UCSB Library
UCSB Library,01/03/2022 20:00,25,34,1hour,UCSB > UCSB Library
UCSB Library,01/03/2022 21:00,15,20,1hour,UCSB > UCSB Library
UCSB Library,01/03/2022 22:00,7,9,1hour,UCSB > UCSB Library
UCSB Library,01/03/2022 23:00,6,9,1hour,UCSB > UCSB Library
UCSB Library,01/04/2022 00:00,6,12,1hour,UCSB > UCSB Library
UCSB Library,01/04/2022 01:00,6,6,1hour,UCSB > UCSB Library
UCSB Library,01/04/2022 02:00,5,6,1hour,UCSB > UCSB Library
UCSB Library,01/04/2022 03:00,6,9,1hour,UCSB > UCSB Library
UCSB Library,01/04/2022 04:00,5,9,1hour,UCSB > UCSB Library
UCSB Library,01/04/2022 05:00,6,10,1hour,UCSB > UCSB Library
UCSB Library,01/04/2022 06:00,6,7,1hour,UCSB > UCSB Library
UCSB Library,01/04/2022 07:00,6,10,1hour,UCSB > UCSB Library
UCSB Library,01/04/2022 08:00,9,14,1hour,UCSB > UCSB Library
UCSB Library,01/04/2022 09:00,48,108,1hour,UCSB > UCSB Library
UCSB Library,01/04/2022 10:00,140,178,1hour,UCSB > UCSB Library
UCSB Library,01/04/2022 11:00,183,210,1hour,UCSB > UCSB Library
UCSB Library,01/04/2022 12:00,201,213,1hour,UCSB > UCSB Library
UCSB Library,01/04/2022 13:00,253,278,1hour,UCSB > UCSB Library
UCSB Library,01/04/2022 14:00,287,302,1hour,UCSB > UCSB Library
UCSB Library,01/04/2022 15:00,315,337,1hour,UCSB > UCSB Library
UCSB Library,01/04/2022 16:00,267,309,1hour,UCSB > UCSB Library
UCSB Library,01/04/2022 17:00,222,235,1hour,UCSB > UCSB Library
UCSB Library,01/04/2022 18:00,167,216,1hour,UCSB > UCSB Library
UCSB Library,01/04/2022 19:00,78,102,1hour,UCSB > UCSB Library
UCSB Library,01/04/2022 20:00,54,82,1hour,UCSB > UCSB Library
UCSB Library,01/04/2022 21:00,37,83,1hour,UCSB > UCSB Library
UCSB Library,01/04/2022 22:00,8,11,1hour,UCSB > UCSB Library
UCSB Library,01/04/2022 23:00,9,11,1hour,UCSB > UCSB Library
UCSB Library,01/05/2022 00:00,6,12,1hour,UCSB > UCSB Library
UCSB Library,01/05/2022 01:00,6,8,1hour,UCSB > UCSB Library
UCSB Library,01/05/2022 02:00,6,7,1hour,UCSB > UCSB Library
UCSB Library,01/05/2022 03:00,5,7,1hour,UCSB > UCSB Library
UCSB Library,01/05/2022 04:00,5,8,1hour,UCSB > UCSB Library
UCSB Library,01/05/2022 05:00,5,6,1hour,UCSB > UCSB Library
UCSB Library,01/05/2022 06:00,5,6,1hour,UCSB > UCSB Library
UCSB Library,01/05/2022 07:00,5,6,1hour,UCSB > UCSB Library
UCSB Library,01/05/2022 08:00,7,10,1hour,UCSB > UCSB Library
UCSB Library,01/05/2022 09:00,25,63,1hour,UCSB > UCSB Library
UCSB Library,01/05/2022 10:00,134,188,1hour,UCSB > UCSB Library
UCSB Library,01/05/2022 11:00,217,242,1hour,UCSB > UCSB Library
UCSB Library,01/05/2022 12:00,245,278,1hour,UCSB > UCSB Library
UCSB Library,01/05/2022 13:00,275,296,1hour,UCSB > UCSB Library
UCSB Library,01/05/2022 14:00,316,367,1hour,UCSB > UCSB Library
UCSB Library,01/05/2022 15:00,326,355,1hour,UCSB > UCSB Library
UCSB Library,01/05/2022 16:00,310,331,1hour,UCSB > UCSB Library
UCSB Library,01/05/2022 17:00,268,285,1hour,UCSB > UCSB Library
UCSB Library,01/05/2022 18:00,197,236,1hour,UCSB > UCSB Library
UCSB Library,01/05/2022 19:00,104,160,1hour,UCSB > UCSB Library
UCSB Library,01/05/2022 20:00,73,96,1hour,UCSB > UCSB Library
UCSB Library,01/05/2022 21:00,43,80,1hour,UCSB > UCSB Library
UCSB Library,01/05/2022 22:00,8,15,1hour,UCSB > UCSB Library
UCSB Library,01/05/2022 23:00,7,12,1hour,UCSB > UCSB Library
UCSB Library,01/06/2022 00:00,7,11,1hour,UCSB > UCSB Library
UCSB Library,01/06/2022 01:00,6,8,1hour,UCSB > UCSB Library
UCSB Library,01/06/2022 02:00,6,7,1hour,UCSB > UCSB Library
UCSB Library,01/06/2022 03:00,5,7,1hour,UCSB > UCSB Library
UCSB Library,01/06/2022 04:00,6,7,1hour,UCSB > UCSB Library
UCSB Library,01/06/2022 05:00,5,7,1hour,UCSB > UCSB Library
UCSB Library,01/06/2022 06:00,6,7,1hour,UCSB > UCSB Library
UCSB Library,01/06/2022 07:00,6,8,1hour,UCSB > UCSB Library
UCSB Library,01/06/2022 08:00,9,15,1hour,UCSB > UCSB Library
UCSB Library,01/06/2022 09:00,37,58,1hour,UCSB > UCSB Library
UCSB Library,01/06/2022 10:00,94,138,1hour,UCSB > UCSB Library
UCSB Library,01/06/2022 11:00,179,233,1hour,UCSB > UCSB Library
UCSB Library,01/06/2022 12:00,235,257,1hour,UCSB > UCSB Library
UCSB Library,01/06/2022 13:00,265,291,1hour,UCSB > UCSB Library
UCSB Library,01/06/2022 14:00,317,354,1hour,UCSB > UCSB Library
UCSB Library,01/06/2022 15:00,335,360,1hour,UCSB > UCSB Library
UCSB Library,01/06/2022 16:00,308,374,1hour,UCSB > UCSB Library
UCSB Library,01/06/2022 17:00,264,290,1hour,UCSB > UCSB Library
UCSB Library,01/06/2022 18:00,198,252,1hour,UCSB > UCSB Library
UCSB Library,01/06/2022 19:00,123,159,1hour,UCSB > UCSB Library
UCSB Library,01/06/2022 20:00,95,117,1hour,UCSB > UCSB Library
UCSB Library,01/06/2022 21:00,41,59,1hour,UCSB > UCSB Library
UCSB Library,01/06/2022 22:00,8,20,1hour,UCSB > UCSB Library
UCSB Library,01/06/2022 23:00,8,10,1hour,UCSB > UCSB Library
UCSB Library,01/07/2022 00:00,5,8,1hour,UCSB > UCSB Library
UCSB Library,01/07/2022 01:00,6,8,1hour,UCSB > UCSB Library
UCSB Library,01/07/2022 02:00,6,7,1hour,UCSB > UCSB Library
UCSB Library,01/07/2022 03:00,5,7,1hour,UCSB > UCSB Library
UCSB Library,01/07/2022 04:00,7,9,1hour,UCSB > UCSB Library
UCSB Library,01/07/2022 05:00,7,10,1hour,UCSB > UCSB Library
UCSB Library,01/07/2022 06:00,8,10,1hour,UCSB > UCSB Library
UCSB Library,01/07/2022 07:00,7,9,1hour,UCSB > UCSB Library
UCSB Library,01/07/2022 08:00,13,19,1hour,UCSB > UCSB Library
UCSB Library,01/07/2022 09:00,21,38,1hour,UCSB > UCSB Library
UCSB Library,01/07/2022 10:00,50,78,1hour,UCSB > UCSB Library
UCSB Library,01/07/2022 11:00,109,158,1hour,UCSB > UCSB Library
UCSB Library,01/07/2022 12:00,132,154,1hour,UCSB > UCSB Library
UCSB Library,01/07/2022 13:00,209,241,1hour,UCSB > UCSB Library
UCSB Library,01/07/2022 14:00,274,292,1hour,UCSB > UCSB Library
UCSB Library,01/07/2022 15:00,311,324,1hour,UCSB > UCSB Library
UCSB Library,01/07/2022 16:00,262,318,1hour,UCSB > UCSB Library
UCSB Library,01/07/2022 17:00,211,252,1hour,UCSB > UCSB Library
UCSB Library,01/07/2022 18:00,112,178,1hour,UCSB > UCSB Library
UCSB Library,01/07/2022 19:00,71,94,1hour,UCSB > UCSB Library
UCSB Library,01/07/2022 20:00,40,91,1hour,UCSB > UCSB Library
UCSB Library,01/07/2022 21:00,8,20,1hour,UCSB > UCSB Library
UCSB Library,01/07/2022 22:00,6,9,1hour,UCSB > UCSB Library
UCSB Library,01/07/2022 23:00,6,8,1hour,UCSB > UCSB Library
UCSB Library,01/08/2022 00:00,7,10,1hour,UCSB > UCSB Library
UCSB Library,01/08/2022 01:00,6,8,1hour,UCSB > UCSB Library
UCSB Library,01/08/2022 02:00,6,8,1hour,UCSB > UCSB Library
UCSB Library,01/08/2022 03:00,7,8,1hour,UCSB > UCSB Library
UCSB Library,01/08/2022 04:00,7,9,1hour,UCSB > UCSB Library
UCSB Library,01/08/2022 05:00,8,10,1hour,UCSB > UCSB Library
UCSB Library,01/08/2022 06:00,9,10,1hour,UCSB > UCSB Library
UCSB Library,01/08/2022 07:00,9,10,1hour,UCSB > UCSB Library
UCSB Library,01/08/2022 08:00,9,12,1hour,UCSB > UCSB Library
UCSB Library,01/08/2022 09:00,10,12,1hour,UCSB > UCSB Library
UCSB Library,01/08/2022 10:00,17,23,1hour,UCSB > UCSB Library
UCSB Library,01/08/2022 11:00,37,51,1hour,UCSB > UCSB Library
UCSB Library,01/08/2022 12:00,58,79,1hour,UCSB > UCSB Library
UCSB Library,01/08/2022 13:00,124,187,1hour,UCSB > UCSB Library
UCSB Library,01/08/2022 14:00,220,235,1hour,UCSB > UCSB Library
UCSB Library,01/08/2022 15:00,267,305,1hour,UCSB > UCSB Library
UCSB Library,01/08/2022 16:00,240,282,1hour,UCSB > UCSB Library
UCSB Library,01/08/2022 17:00,136,224,1hour,UCSB > UCSB Library
UCSB Library,01/08/2022 18:00,7,32,1hour,UCSB > UCSB Library
UCSB Library,01/08/2022 19:00,8,12,1hour,UCSB > UCSB Library
UCSB Library,01/08/2022 20:00,9,11,1hour,UCSB > UCSB Library
UCSB Library,01/08/2022 21:00,9,11,1hour,UCSB > UCSB Library
UCSB Library,01/08/2022 22:00,8,11,1hour,UCSB > UCSB Library
UCSB Library,01/08/2022 23:00,8,11,1hour,UCSB > UCSB Library
UCSB Library,01/09/2022 00:00,6,9,1hour,UCSB > UCSB Library
UCSB Library,01/09/2022 01:00,8,9,1hour,UCSB > UCSB Library
UCSB Library,01/09/2022 02:00,8,11,1hour,UCSB > UCSB Library
UCSB Library,01/09/2022 03:00,8,10,1hour,UCSB > UCSB Library
UCSB Library,01/09/2022 04:00,8,10,1hour,UCSB > UCSB Library
UCSB Library,01/09/2022 05:00,8,9,1hour,UCSB > UCSB Library
UCSB Library,01/09/2022 06:00,8,10,1hour,UCSB > UCSB Library
UCSB Library,01/09/2022 07:00,8,10,1hour,UCSB > UCSB Library
UCSB Library,01/09/2022 08:00,8,10,1hour,UCSB > UCSB Library
UCSB Library,01/09/2022 09:00,8,11,1hour,UCSB > UCSB Library
UCSB Library,01/09/2022 10:00,21,36,1hour,UCSB > UCSB Library
