Customer,"UCSB"
Date Range,06/01/2022 - 06/30/2022
Hour Range,0 - 24
Days of the Week,"Mon - Sun"
Time Interval, 1h

Location,Timestamp,Average Occupancy,Peak Occupancy,Time Interval,Location Path
UCSB Library,06/01/2022 00:00,962,1105,1hour,UCSB > UCSB Library
UCSB Library,06/01/2022 01:00,559,876,1hour,UCSB > UCSB Library
UCSB Library,06/01/2022 02:00,390,444,1hour,UCSB > UCSB Library
UCSB Library,06/01/2022 03:00,301,359,1hour,UCSB > UCSB Library
UCSB Library,06/01/2022 04:00,317,365,1hour,UCSB > UCSB Library
UCSB Library,06/01/2022 05:00,248,352,1hour,UCSB > UCSB Library
UCSB Library,06/01/2022 06:00,258,304,1hour,UCSB > UCSB Library
UCSB Library,06/01/2022 07:00,223,277,1hour,UCSB > UCSB Library
UCSB Library,06/01/2022 08:00,386,567,1hour,UCSB > UCSB Library
UCSB Library,06/01/2022 09:00,661,820,1hour,UCSB > UCSB Library
UCSB Library,06/01/2022 10:00,1150,1356,1hour,UCSB > UCSB Library
UCSB Library,06/01/2022 11:00,1357,1440,1hour,UCSB > UCSB Library
UCSB Library,06/01/2022 12:00,1610,1743,1hour,UCSB > UCSB Library
UCSB Library,06/01/2022 13:00,1818,2074,1hour,UCSB > UCSB Library
UCSB Library,06/01/2022 14:00,2162,2369,1hour,UCSB > UCSB Library
UCSB Library,06/01/2022 15:00,2308,2422,1hour,UCSB > UCSB Library
UCSB Library,06/01/2022 16:00,2475,2591,1hour,UCSB > UCSB Library
UCSB Library,06/01/2022 17:00,1953,2482,1hour,UCSB > UCSB Library
UCSB Library,06/01/2022 18:00,1644,1784,1hour,UCSB > UCSB Library
UCSB Library,06/01/2022 19:00,1590,1644,1hour,UCSB > UCSB Library
UCSB Library,06/01/2022 20:00,1678,1969,1hour,UCSB > UCSB Library
UCSB Library,06/01/2022 21:00,1594,2018,1hour,UCSB > UCSB Library
UCSB Library,06/01/2022 22:00,1490,1681,1hour,UCSB > UCSB Library
UCSB Library,06/01/2022 23:00,1169,1328,1hour,UCSB > UCSB Library
UCSB Library,06/02/2022 00:00,951,1061,1hour,UCSB > UCSB Library
UCSB Library,06/02/2022 01:00,607,769,1hour,UCSB > UCSB Library
UCSB Library,06/02/2022 02:00,444,522,1hour,UCSB > UCSB Library
UCSB Library,06/02/2022 03:00,330,412,1hour,UCSB > UCSB Library
UCSB Library,06/02/2022 04:00,238,277,1hour,UCSB > UCSB Library
UCSB Library,06/02/2022 05:00,200,222,1hour,UCSB > UCSB Library
UCSB Library,06/02/2022 06:00,185,198,1hour,UCSB > UCSB Library
UCSB Library,06/02/2022 07:00,222,280,1hour,UCSB > UCSB Library
UCSB Library,06/02/2022 08:00,393,575,1hour,UCSB > UCSB Library
UCSB Library,06/02/2022 09:00,883,1083,1hour,UCSB > UCSB Library
UCSB Library,06/02/2022 10:00,1322,1556,1hour,UCSB > UCSB Library
UCSB Library,06/02/2022 11:00,1591,1725,1hour,UCSB > UCSB Library
UCSB Library,06/02/2022 12:00,1637,1780,1hour,UCSB > UCSB Library
UCSB Library,06/02/2022 13:00,2053,2409,1hour,UCSB > UCSB Library
UCSB Library,06/02/2022 14:00,2130,2443,1hour,UCSB > UCSB Library
UCSB Library,06/02/2022 15:00,2300,2465,1hour,UCSB > UCSB Library
UCSB Library,06/02/2022 16:00,2193,2510,1hour,UCSB > UCSB Library
UCSB Library,06/02/2022 17:00,1715,1895,1hour,UCSB > UCSB Library
UCSB Library,06/02/2022 18:00,1557,1702,1hour,UCSB > UCSB Library
UCSB Library,06/02/2022 19:00,1478,1684,1hour,UCSB > UCSB Library
UCSB Library,06/02/2022 20:00,1738,1858,1hour,UCSB > UCSB Library
UCSB Library,06/02/2022 21:00,1785,2129,1hour,UCSB > UCSB Library
UCSB Library,06/02/2022 22:00,1647,1964,1hour,UCSB > UCSB Library
UCSB Library,06/02/2022 23:00,1441,1792,1hour,UCSB > UCSB Library
UCSB Library,06/03/2022 00:00,881,1066,1hour,UCSB > UCSB Library
UCSB Library,06/03/2022 01:00,593,710,1hour,UCSB > UCSB Library
UCSB Library,06/03/2022 02:00,412,476,1hour,UCSB > UCSB Library
UCSB Library,06/03/2022 03:00,303,353,1hour,UCSB > UCSB Library
UCSB Library,06/03/2022 04:00,267,298,1hour,UCSB > UCSB Library
UCSB Library,06/03/2022 05:00,229,255,1hour,UCSB > UCSB Library
UCSB Library,06/03/2022 06:00,201,215,1hour,UCSB > UCSB Library
UCSB Library,06/03/2022 07:00,235,271,1hour,UCSB > UCSB Library
UCSB Library,06/03/2022 08:00,325,445,1hour,UCSB > UCSB Library
UCSB Library,06/03/2022 09:00,626,823,1hour,UCSB > UCSB Library
UCSB Library,06/03/2022 10:00,1056,1188,1hour,UCSB > UCSB Library
UCSB Library,06/03/2022 11:00,1413,1566,1hour,UCSB > UCSB Library
UCSB Library,06/03/2022 12:00,1653,1836,1hour,UCSB > UCSB Library
UCSB Library,06/03/2022 13:00,1887,1971,1hour,UCSB > UCSB Library
UCSB Library,06/03/2022 14:00,2045,2277,1hour,UCSB > UCSB Library
UCSB Library,06/03/2022 15:00,2152,2297,1hour,UCSB > UCSB Library
UCSB Library,06/03/2022 16:00,2120,2315,1hour,UCSB > UCSB Library
UCSB Library,06/03/2022 17:00,1957,2103,1hour,UCSB > UCSB Library
UCSB Library,06/03/2022 18:00,1724,1915,1hour,UCSB > UCSB Library
UCSB Library,06/03/2022 19:00,1594,1679,1hour,UCSB > UCSB Library
UCSB Library,06/03/2022 20:00,1560,1649,1hour,UCSB > UCSB Library
UCSB Library,06/03/2022 21:00,1557,1666,1hour,UCSB > UCSB Library
UCSB Library,06/03/2022 22:00,1416,1466,1hour,UCSB > UCSB Library
UCSB Library,06/03/2022 23:00,1184,1445,1hour,UCSB > UCSB Library
UCSB Library,06/04/2022 00:00,880,1064,1hour,UCSB > UCSB Library
UCSB Library,06/04/2022 01:00,604,699,1hour,UCSB > UCSB Library
UCSB Library,06/04/2022 02:00,450,521,1hour,UCSB > UCSB Library
UCSB Library,06/04/2022 03:00,327,408,1hour,UCSB > UCSB Library
UCSB Library,06/04/2022 04:00,270,310,1hour,UCSB > UCSB Library
UCSB Library,06/04/2022 05:00,280,305,1hour,UCSB > UCSB Library
UCSB Library,06/04/2022 06:00,238,273,1hour,UCSB > UCSB Library
UCSB Library,06/04/2022 07:00,212,251,1hour,UCSB > UCSB Library
UCSB Library,06/04/2022 08:00,252,323,1hour,UCSB > UCSB Library
UCSB Library,06/04/2022 09:00,444,547,1hour,UCSB > UCSB Library
UCSB Library,06/04/2022 10:00,715,976,1hour,UCSB > UCSB Library
UCSB Library,06/04/2022 11:00,1220,1454,1hour,UCSB > UCSB Library
UCSB Library,06/04/2022 12:00,1640,1817,1hour,UCSB > UCSB Library
UCSB Library,06/04/2022 13:00,1997,2137,1hour,UCSB > UCSB Library
UCSB Library,06/04/2022 14:00,2295,2654,1hour,UCSB > UCSB Library
UCSB Library,06/04/2022 15:00,2461,2660,1hour,UCSB > UCSB Library
UCSB Library,06/04/2022 16:00,2007,2219,1hour,UCSB > UCSB Library
UCSB Library,06/04/2022 17:00,1856,2019,1hour,UCSB > UCSB Library
UCSB Library,06/04/2022 18:00,1834,1949,1hour,UCSB > UCSB Library
UCSB Library,06/04/2022 19:00,1347,1664,1hour,UCSB > UCSB Library
UCSB Library,06/04/2022 20:00,1223,1330,1hour,UCSB > UCSB Library
UCSB Library,06/04/2022 21:00,1298,1417,1hour,UCSB > UCSB Library
UCSB Library,06/04/2022 22:00,1266,1427,1hour,UCSB > UCSB Library
UCSB Library,06/04/2022 23:00,1026,1157,1hour,UCSB > UCSB Library
UCSB Library,06/05/2022 00:00,727,880,1hour,UCSB > UCSB Library
UCSB Library,06/05/2022 01:00,471,584,1hour,UCSB > UCSB Library
UCSB Library,06/05/2022 02:00,350,414,1hour,UCSB > UCSB Library
UCSB Library,06/05/2022 03:00,263,313,1hour,UCSB > UCSB Library
UCSB Library,06/05/2022 04:00,215,240,1hour,UCSB > UCSB Library
UCSB Library,06/05/2022 05:00,156,199,1hour,UCSB > UCSB Library
UCSB Library,06/05/2022 06:00,141,150,1hour,UCSB > UCSB Library
UCSB Library,06/05/2022 07:00,131,137,1hour,UCSB > UCSB Library
UCSB Library,06/05/2022 08:00,159,213,1hour,UCSB > UCSB Library
UCSB Library,06/05/2022 09:00,328,445,1hour,UCSB > UCSB Library
UCSB Library,06/05/2022 10:00,571,722,1hour,UCSB > UCSB Library
UCSB Library,06/05/2022 11:00,977,1208,1hour,UCSB > UCSB Library
UCSB Library,06/05/2022 12:00,1718,2168,1hour,UCSB > UCSB Library
UCSB Library,06/05/2022 13:00,2310,2579,1hour,UCSB > UCSB Library
UCSB Library,06/05/2022 14:00,2739,2996,1hour,UCSB > UCSB Library
UCSB Library,06/05/2022 15:00,2583,2873,1hour,UCSB > UCSB Library
UCSB Library,06/05/2022 16:00,2673,3082,1hour,UCSB > UCSB Library
UCSB Library,06/05/2022 17:00,2475,2704,1hour,UCSB > UCSB Library
UCSB Library,06/05/2022 18:00,2053,2517,1hour,UCSB > UCSB Library
UCSB Library,06/05/2022 19:00,1814,1926,1hour,UCSB > UCSB Library
UCSB Library,06/05/2022 20:00,1858,2229,1hour,UCSB > UCSB Library
UCSB Library,06/05/2022 21:00,2139,2651,1hour,UCSB > UCSB Library
UCSB Library,06/05/2022 22:00,2196,2327,1hour,UCSB > UCSB Library
UCSB Library,06/05/2022 23:00,1738,2121,1hour,UCSB > UCSB Library
UCSB Library,06/06/2022 00:00,1263,1499,1hour,UCSB > UCSB Library
UCSB Library,06/06/2022 01:00,958,1080,1hour,UCSB > UCSB Library
UCSB Library,06/06/2022 02:00,694,857,1hour,UCSB > UCSB Library
UCSB Library,06/06/2022 03:00,510,581,1hour,UCSB > UCSB Library
UCSB Library,06/06/2022 04:00,409,494,1hour,UCSB > UCSB Library
UCSB Library,06/06/2022 05:00,320,366,1hour,UCSB > UCSB Library
UCSB Library,06/06/2022 06:00,264,291,1hour,UCSB > UCSB Library
UCSB Library,06/06/2022 07:00,297,331,1hour,UCSB > UCSB Library
UCSB Library,06/06/2022 08:00,457,598,1hour,UCSB > UCSB Library
UCSB Library,06/06/2022 09:00,893,1201,1hour,UCSB > UCSB Library
UCSB Library,06/06/2022 10:00,1447,1620,1hour,UCSB > UCSB Library
UCSB Library,06/06/2022 11:00,1844,2041,1hour,UCSB > UCSB Library
