Customer,"UCSB"
Date Range,11/01/2022 - 11/30/2022
Hour Range,0 - 24
Days of the Week,"Mon - Sun"
Time Interval, 1h

Location,Timestamp,Average Occupancy,Peak Occupancy,Time Interval,Location Path
UCSB Library,11/01/2022 00:00,388,502,1hour,UCSB > UCSB Library
UCSB Library,11/01/2022 01:00,221,299,1hour,UCSB > UCSB Library
UCSB Library,11/01/2022 02:00,92,156,1hour,UCSB > UCSB Library
UCSB Library,11/01/2022 03:00,65,74,1hour,UCSB > UCSB Library
UCSB Library,11/01/2022 04:00,62,63,1hour,UCSB > UCSB Library
UCSB Library,11/01/2022 05:00,64,79,1hour,UCSB > UCSB Library
UCSB Library,11/01/2022 06:00,60,65,1hour,UCSB > UCSB Library
UCSB Library,11/01/2022 07:00,85,147,1hour,UCSB > UCSB Library
UCSB Library,11/01/2022 08:00,269,514,1hour,UCSB > UCSB Library
UCSB Library,11/01/2022 09:00,934,1291,1hour,UCSB > UCSB Library
UCSB Library,11/01/2022 10:00,1630,2064,1hour,UCSB > UCSB Library
UCSB Library,11/01/2022 11:00,2230,2444,1hour,UCSB > UCSB Library
UCSB Library,11/01/2022 12:00,2161,2373,1hour,UCSB > UCSB Library
UCSB Library,11/01/2022 13:00,2416,2566,1hour,UCSB > UCSB Library
UCSB Library,11/01/2022 14:00,2608,2970,1hour,UCSB > UCSB Library
UCSB Library,11/01/2022 15:00,2969,3463,1hour,UCSB > UCSB Library
UCSB Library,11/01/2022 16:00,2878,3115,1hour,UCSB > UCSB Library
UCSB Library,11/01/2022 17:00,2375,2655,1hour,UCSB > UCSB Library
UCSB Library,11/01/2022 18:00,1906,2101,1hour,UCSB > UCSB Library
UCSB Library,11/01/2022 19:00,1685,1792,1hour,UCSB > UCSB Library
UCSB Library,11/01/2022 20:00,1626,1808,1hour,UCSB > UCSB Library
UCSB Library,11/01/2022 21:00,1661,1818,1hour,UCSB > UCSB Library
UCSB Library,11/01/2022 22:00,1397,1815,1hour,UCSB > UCSB Library
UCSB Library,11/01/2022 23:00,761,947,1hour,UCSB > UCSB Library
