Customer,"UCSB"
Date Range,10/01/2022 - 10/31/2022
Hour Range,0 - 24
Days of the Week,"Mon - Sun"
Time Interval, 1h

Location,Timestamp,Average Occupancy,Peak Occupancy,Time Interval,Location Path
UCSB Library,10/01/2022 00:00,89,163,1hour,UCSB > UCSB Library
UCSB Library,10/01/2022 01:00,78,88,1hour,UCSB > UCSB Library
UCSB Library,10/01/2022 02:00,70,86,1hour,UCSB > UCSB Library
UCSB Library,10/01/2022 03:00,71,82,1hour,UCSB > UCSB Library
UCSB Library,10/01/2022 04:00,70,78,1hour,UCSB > UCSB Library
UCSB Library,10/01/2022 05:00,70,74,1hour,UCSB > UCSB Library
UCSB Library,10/01/2022 06:00,70,75,1hour,UCSB > UCSB Library
UCSB Library,10/01/2022 07:00,71,76,1hour,UCSB > UCSB Library
UCSB Library,10/01/2022 08:00,61,78,1hour,UCSB > UCSB Library
UCSB Library,10/01/2022 09:00,77,98,1hour,UCSB > UCSB Library
UCSB Library,10/01/2022 10:00,161,247,1hour,UCSB > UCSB Library
UCSB Library,10/01/2022 11:00,400,486,1hour,UCSB > UCSB Library
UCSB Library,10/01/2022 12:00,624,759,1hour,UCSB > UCSB Library
UCSB Library,10/01/2022 13:00,924,1053,1hour,UCSB > UCSB Library
UCSB Library,10/01/2022 14:00,1148,1288,1hour,UCSB > UCSB Library
UCSB Library,10/01/2022 15:00,1215,1287,1hour,UCSB > UCSB Library
UCSB Library,10/01/2022 16:00,1105,1208,1hour,UCSB > UCSB Library
UCSB Library,10/01/2022 17:00,908,1082,1hour,UCSB > UCSB Library
UCSB Library,10/01/2022 18:00,628,794,1hour,UCSB > UCSB Library
UCSB Library,10/01/2022 19:00,395,542,1hour,UCSB > UCSB Library
UCSB Library,10/01/2022 20:00,391,415,1hour,UCSB > UCSB Library
UCSB Library,10/01/2022 21:00,363,422,1hour,UCSB > UCSB Library
UCSB Library,10/01/2022 22:00,292,337,1hour,UCSB > UCSB Library
UCSB Library,10/01/2022 23:00,188,270,1hour,UCSB > UCSB Library
UCSB Library,10/02/2022 00:00,87,159,1hour,UCSB > UCSB Library
UCSB Library,10/02/2022 01:00,71,77,1hour,UCSB > UCSB Library
UCSB Library,10/02/2022 02:00,67,71,1hour,UCSB > UCSB Library
UCSB Library,10/02/2022 03:00,69,74,1hour,UCSB > UCSB Library
UCSB Library,10/02/2022 04:00,68,73,1hour,UCSB > UCSB Library
UCSB Library,10/02/2022 05:00,67,72,1hour,UCSB > UCSB Library
UCSB Library,10/02/2022 06:00,64,69,1hour,UCSB > UCSB Library
UCSB Library,10/02/2022 07:00,66,69,1hour,UCSB > UCSB Library
UCSB Library,10/02/2022 08:00,74,90,1hour,UCSB > UCSB Library
UCSB Library,10/02/2022 09:00,123,193,1hour,UCSB > UCSB Library
UCSB Library,10/02/2022 10:00,263,408,1hour,UCSB > UCSB Library
UCSB Library,10/02/2022 11:00,494,544,1hour,UCSB > UCSB Library
UCSB Library,10/02/2022 12:00,725,911,1hour,UCSB > UCSB Library
UCSB Library,10/02/2022 13:00,1080,1293,1hour,UCSB > UCSB Library
UCSB Library,10/02/2022 14:00,1503,1633,1hour,UCSB > UCSB Library
UCSB Library,10/02/2022 15:00,1688,1759,1hour,UCSB > UCSB Library
UCSB Library,10/02/2022 16:00,1615,1756,1hour,UCSB > UCSB Library
UCSB Library,10/02/2022 17:00,1337,1492,1hour,UCSB > UCSB Library
UCSB Library,10/02/2022 18:00,1052,1258,1hour,UCSB > UCSB Library
UCSB Library,10/02/2022 19:00,804,931,1hour,UCSB > UCSB Library
UCSB Library,10/02/2022 20:00,755,814,1hour,UCSB > UCSB Library
UCSB Library,10/02/2022 21:00,756,838,1hour,UCSB > UCSB Library
UCSB Library,10/02/2022 22:00,586,713,1hour,UCSB > UCSB Library
UCSB Library,10/02/2022 23:00,363,507,1hour,UCSB > UCSB Library
UCSB Library,10/03/2022 00:00,176,259,1hour,UCSB > UCSB Library
UCSB Library,10/03/2022 01:00,80,113,1hour,UCSB > UCSB Library
UCSB Library,10/03/2022 02:00,67,73,1hour,UCSB > UCSB Library
UCSB Library,10/03/2022 03:00,62,68,1hour,UCSB > UCSB Library
UCSB Library,10/03/2022 04:00,68,86,1hour,UCSB > UCSB Library
UCSB Library,10/03/2022 05:00,63,82,1hour,UCSB > UCSB Library
UCSB Library,10/03/2022 06:00,62,84,1hour,UCSB > UCSB Library
UCSB Library,10/03/2022 07:00,84,140,1hour,UCSB > UCSB Library
UCSB Library,10/03/2022 08:00,251,748,1hour,UCSB > UCSB Library
UCSB Library,10/03/2022 09:00,1200,1660,1hour,UCSB > UCSB Library
UCSB Library,10/03/2022 10:00,2079,2344,1hour,UCSB > UCSB Library
UCSB Library,10/03/2022 11:00,2638,2878,1hour,UCSB > UCSB Library
UCSB Library,10/03/2022 12:00,2666,2812,1hour,UCSB > UCSB Library
UCSB Library,10/03/2022 13:00,2677,2786,1hour,UCSB > UCSB Library
UCSB Library,10/03/2022 14:00,3023,3380,1hour,UCSB > UCSB Library
UCSB Library,10/03/2022 15:00,3336,3509,1hour,UCSB > UCSB Library
UCSB Library,10/03/2022 16:00,2923,3158,1hour,UCSB > UCSB Library
UCSB Library,10/03/2022 17:00,2002,2584,1hour,UCSB > UCSB Library
UCSB Library,10/03/2022 18:00,1411,1643,1hour,UCSB > UCSB Library
UCSB Library,10/03/2022 19:00,1070,1186,1hour,UCSB > UCSB Library
UCSB Library,10/03/2022 20:00,1083,1154,1hour,UCSB > UCSB Library
UCSB Library,10/03/2022 21:00,1189,1298,1hour,UCSB > UCSB Library
UCSB Library,10/03/2022 22:00,944,1138,1hour,UCSB > UCSB Library
UCSB Library,10/03/2022 23:00,475,740,1hour,UCSB > UCSB Library
UCSB Library,10/04/2022 00:00,171,337,1hour,UCSB > UCSB Library
UCSB Library,10/04/2022 01:00,80,96,1hour,UCSB > UCSB Library
UCSB Library,10/04/2022 02:00,64,70,1hour,UCSB > UCSB Library
UCSB Library,10/04/2022 03:00,60,63,1hour,UCSB > UCSB Library
UCSB Library,10/04/2022 04:00,63,68,1hour,UCSB > UCSB Library
